Timestamp,Discord Username,Rank Your Country Choices [Abyssinia],Rank Your Country Choices [Ajuuran],Rank Your Country Choices [Athapasca],Rank Your Country Choices [Austria],Rank Your Country Choices [Aymara],Rank Your Country Choices [Ayutthaya],Rank Your Country Choices [England],Rank Your Country Choices [France],Rank Your Country Choices [Guarani],Rank Your Country Choices [Inuit],Rank Your Country Choices [Kongo],Rank Your Country Choices [Mapuche-Tehuelche],Rank Your Country Choices [Ming],Rank Your Country Choices [Mughal],Rank Your Country Choices [Netherlands],Rank Your Country Choices [Ottoman],Rank Your Country Choices [Poland-Lithuania],Rank Your Country Choices [Portugal],Rank Your Country Choices [Qing],Rank Your Country Choices [Russia],Rank Your Country Choices [Safavid],Rank Your Country Choices [Spain],Rank Your Country Choices [Sweden],Rank Your Country Choices [Ute-Shoshone],Rank Your Country Choices [Tokugawa],Select Here If You Have No Power Preferences,"Would you like to be placed in a game where throwing is penalized?

Throwing would be determined as ""Moving with the intention to end the game by providing supply centers to another power or to eliminate your power ahead of when it would naturally cease to exist."" Penalties would include reputation (as if you had left the game) and loss of IDR invested in the game. Whether you threw would be determined by the GM and Angel (who would both have to agree you threw) and by a panel of 3 Admins, of which 2 would need to agree you threw.
",Are there any people you refuse to play with? (This will be shared with the Admins and your GM Team.),Anything else the Admins should know?
11/04/2026 18:40:35,3ea4ed88,,4th,,,,,,,,2nd,5th,1st,,,,,,,,,,,3rd,,,,I have no preference either way,,
17/04/2026 18:00:19,5be0a019,,,,,,,1st,,,,,,,,5th,,,2nd,,,,3rd,,,4th,,Yes,,
13/04/2026 17:46:55,be5fdec5,,,2nd,,,,,,,1st,,3rd,4th,,,,,,5th,,,,,,,,I have no preference either way,,
12/04/2026 08:40:33,1cc733ea,,5th,,,,,2nd,3rd,,4th,,,,,,,,1st,,,,,,,,,I have no preference either way,a8c9cd4a,
13/04/2026 14:22:23,4ee4db05,,,,,,5th,,,,3rd,,,,,,,2nd,,4th,,,,,1st,,,Yes,,
15/04/2026 18:20:37,0ba4ef1d,,,,5th,,,2nd,,,,,,,,,3rd,4th,,,1st,,,,,,,I have no preference either way,,
12/04/2026 01:02:30,ba8f7103,,,,5th,,,,,,,,,,,4th,,2nd,,,,,,1st,,3rd,,I have no preference either way,,
15/04/2026 01:02:10,59a78b20,,5th,,,,1st,,,,,,,,2nd,,4th,3rd,,,,,,,,,,No,"17f02504, 55946acf",
12/04/2026 01:29:57,b29021f4,,,3rd,,,,,,,,2nd,1st,,,,4th,,,,,,,,,5th,,I have no preference either way,,
11/04/2026 18:08:38,176fb04b,,,,,,,,,,,,5th,,3rd,,4th,,,,,,,2nd,,1st,,I have no preference either way,,
13/04/2026 22:06:06,c79b6434,,,,,,,1st,2nd,,3rd,,,,,,,,,,,,4th,,5th,,,I have no preference either way,,
15/04/2026 20:41:39,87425b5f,,,,,,4th,,,,5th,,2nd,,,,,,,,,,,,1st,3rd,,I have no preference either way,,
17/04/2026 15:36:39,e7797d1a,,,,,,,,,,,,,,,5th,3rd,2nd,,,,,,,4th,1st,,I have no preference either way,,
11/04/2026 18:37:01,bebdfb32,,,1st,4th,,3rd,,,,,,2nd,,,,,,,,,,,5th,,,,I have no preference either way,,
12/04/2026 03:35:59,48ecde5a,,,,,,2nd,,,,,,1st,,,,,,,4th,,5th,,,,3rd,,I have no preference either way,,
12/04/2026 08:45:37,eebfd9e1,,,,,,,,3rd,,,4th,,,,,1st,,,,2nd,,,5th,,,,Yes,,
15/04/2026 20:18:19,09bb8419,,,,,3rd,1st,,,,,,,,,,,,,,,2nd,,,4th,,,I have no preference either way,,
12/04/2026 02:14:47,66772f18,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
11/04/2026 18:04:29,f5138cb7,,,,,,,4th,1st,,,,,,,2nd,,,5th,,,,,,,3rd,,I have no preference either way,,
11/04/2026 18:17:07,ad5f7930,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,Yes,,
11/04/2026 20:37:24,c218a74c,,,,,,2nd,,,,,,,,4th,,,,,1st,,5th,,,,3rd,,Yes,,
