Timestamp,Discord Username,Rank Your Country Choices [Abyssinia],Rank Your Country Choices [Ajuuran],Rank Your Country Choices [Athapasca],Rank Your Country Choices [Austria],Rank Your Country Choices [Aymara],Rank Your Country Choices [Ayutthaya],Rank Your Country Choices [England],Rank Your Country Choices [France],Rank Your Country Choices [Guarani],Rank Your Country Choices [Inuit],Rank Your Country Choices [Kongo],Rank Your Country Choices [Mapuche-Tehuelche],Rank Your Country Choices [Ming],Rank Your Country Choices [Mughal],Rank Your Country Choices [Netherlands],Rank Your Country Choices [Ottoman],Rank Your Country Choices [Poland-Lithuania],Rank Your Country Choices [Portugal],Rank Your Country Choices [Qing],Rank Your Country Choices [Russia],Rank Your Country Choices [Safavid],Rank Your Country Choices [Spain],Rank Your Country Choices [Sweden],Rank Your Country Choices [Ute-Shoshone],Rank Your Country Choices [Tokugawa],Select Here If You Have No Power Preferences,Are there any people you refuse to play with? (This will be shared with the Admins and your GM Team.),Anything else the Admins should know?
2/16/2026 18:49:19,b86a3238,,4th,,,,5th,1st,,,,3rd,,,,,,,,,,,,,,2nd,,e3b0c442,
2/16/2026 0:10:54,1cc733ea,,1st,,,,2nd,,,,,,,,,,3rd,,,,,,,5th,4th,,,"1ed5971f, 2e9efe53",
2/14/2026 12:08:39,4685007c,,,,,,,1st,,,2nd,,,,5th,,4th,,,,,,,3rd,,,,"da5f8bee, 63a4e149",
2/14/2026 19:28:57,f5ffe95c,,,,1st,,2nd,,,,,3rd,,,,,,,,,,,,,4th,5th,,e3b0c442,
2/17/2026 16:06:27,4ee4db05,,3rd,,,,,,,,,5th,4th,,1st,,,,,,,,,,,2nd,,e3b0c442,
2/14/2026 14:16:31,087ce0d3,5th,2nd,,,,3rd,,,,,,,,,,,,,1st,,,,4th,,,,e3b0c442,
2/14/2026 12:09:13,ea82a708,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/18/2026 19:51:19,4016c69c,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/19/2026 14:34:05,4c5c6dc5,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 17:55:35,0ba4ef1d,,,,1st,,,,,,,,,,,3rd,4th,,,,2nd,,5th,,,,,e3b0c442,
2/15/2026 16:31:51,bb957259,2nd,,,,,,,,,4th,,,,,,,,,,,1st,,5th,,3rd,,e3b0c442,
2/19/2026 17:37:57,59a78b20,,1st,,,,3rd,,,,,4th,,,,,2nd,5th,,,,,,,,,,17f02504,
2/14/2026 13:47:53,12e3def2,,,2nd,,,,,,,,,3rd,,,1st,,,,5th,,,4th,,,,,e3b0c442,
2/14/2026 13:55:13,c79b6434,,,,1st,,,,5th,,2nd,,,,,,,,,,,,,,4th,3rd,,e3b0c442,
2/14/2026 18:51:46,4a431ad7,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/21/2026 6:31:15,9cb3d482,2nd,1st,,5th,,,,,4th,,3rd,,,,,,,,,,,,,,,,e3b0c442,
2/14/2026 20:05:41,bebdfb32,,,,5th,3rd,4th,,,2nd,,,1st,,,,,,,,,,,,,,,e3b0c442,
2/14/2026 15:06:27,44d55a6c,,,,,,,2nd,3rd,,5th,,,,,1st,,,,,,,4th,,,,,e3b0c442,
